id	event
722	Sarah dies (age 127)
723	Sarai’s name changed to Sarah
724	Saul dies
725	Saul of Tarsus converted
726	Saul preaches in Damascus
727	Saul starts to rule as king over all 12 tribes for 40 years
728	Scipio Africanus defeats Hannibal at Battle of Zama
729	Second Persian invasion of Greece
730	Second partition of Alexander’s empire
731	Seleucus I (Nicator) founds Antioch in Syria
732	Seleucus I Nicator returns to Babylon
733	Sends 70 disciples (Judea)
734	Sennacherib invades Judah
735	Sennacherib’s army destroyed
736	Seth born
737	Shallum starts to rule for 1 month
738	Shem born
739	Shem dies (age 600)
740	Siddhartha Gautama (Buddha), founder of Buddhism is born
741	Simon Maccabaeus dies
742	Sinful woman anoints Jesus’ feet (Nain or nearby)
743	Sodom and Gomorrah destroyed
744	Solomon begins temple construction
745	Solomon completes temple
746	Solomon dedicates temple
747	Solomon dies
748	Solomon starts to rule as king of Israel for 40 years
749	Sophocles's play *Oedipus Rex* is first performed
750	Spanish Inquisition begins
751	Spies enter Jericho
752	Start of “appointed times of the nations” (607 B.C.E‑1914 C.E.)
753	Stephen martyred
754	Symmachus translates Hebrew Scriptures into Greek
755	Syria a Roman province
756	Syria and Israel war against Judah
757	Tabernacle completed
758	Temple altar set up at Jerusalem
759	Temple building resumed
760	Temple burned
761	Temple burned
762	Temple foundation laid by Zerubbabel
763	Ten-tribe kingdom of Israel apostatizes
764	Territory assignments
765	The Greco-Persian Wars end
766	The New Kingdom begins in Egypt
767	The Old Babylonian Epic of Gilgamesh constitutes the earliest complete version of that narrative
768	The Persian army is crushed by Alexander the Great at Gaugamela
769	The Phoenician alphabet is created
770	The Proto-Sinaitic script is the oldest alphabet created in Egypt
771	The beginning of Shang dynasty in China; evidence of a fully developed writing system
772	The capital of the Roman empire is officially moved from Rome to Mediolanum (modern day Milan)
773	Theodosius I makes “Christianity” official religion of Roman Empire
774	Theodosius I outlaws all religions other than Catholicism
775	Thessalonian congregation founded
776	Third Punic War between Rome and Carthage. War ends with the complete destruction of Carthage, allowing Rome to conquer modern day Tunisia and Libya
777	Third tour of Galilee, sends apostles
778	Thirty Years’ War begins
779	Three Kingdoms period begins in China after the fall of Han dynasty
780	Tiberius becomes emperor
781	Tiberius places Achaia and Macedonia under imperial control
782	Tiberius’ fifteenth year
783	Tiglath-Pileser III becomes the new king of Assyria
784	Tiglath-pileser of Assyria exiles portions of Israel
785	Timothy introduced to Christianity
786	Timothy travels with Paul
787	Title “King of the Jews” taken by Judas Aristobulus
788	Titus becomes emperor
789	Titus continues campaign against Jews
790	Titus leaves for Dalmatia
791	Titus left in Crete
792	Titus sent to Corinth
793	Tour east of Jordan, gives illustrations of grand evening meal, lost sheep, lost coin, prodigal son, unrighteous steward, rich man and beggar Lazarus
794	Tours Galilee with four now called
795	Tours Perea; blesses children, answers rich man’s question, gives illustration of laborers in vineyard; James and John request positions in Kingdom
796	Tours Samaria, Galilee; heals ten lepers; illustrations of widow and judge, Pharisee and tax collector
797	Tower of Antonia taken by Romans
798	Tower of Babel built
799	Trajan dies of natural causes. His adopted son Hadrian succeeds him. Hadrian pulls out of Iraq and Armenia
800	Transfiguration vision (probably Mt. Hermon)
801	Travels from Jericho to Bethany
802	Treaty of Alcáçovas between Spain and Portugal
803	Treaty of Tordesillas divides continents between Spain and Portugal
804	Tyndale completes English translation of Christian Scriptures
805	Tyndale executed
806	Tyndale produces English translation of Pentateuch
807	Tyndale’s translation of Christian Scriptures distributed in England
808	U.S. Civil War
809	Use of Iron spreads
810	Uzziah (Azariah) starts to rule for 52 years
811	Uzziah (Azariah) ‘becomes king’
812	Vandals enter North Africa from Spain for the first time
813	Vandals have conquered the land stretching from Morocco to Tunisia by this time
814	Vandals sack Rome, capture Sicily and Sardinia
815	Vasco da Gama’s voyage to India
816	Veda completed (Hinduism)
817	Vespasian becomes emperor
818	Vespasian begins to quell Jewish uprising
819	Victory of Octavius and Mark Antony on Plain of Philippi
820	Visigoths and other Germanic tribes cross into Roman-Gaul for the first time
821	Visigoths sack Rome
822	Vitellius becomes emperor
823	Walks on Sea of Galilee
824	World War I
825	World War II
826	Wycliffe’s Bible translation in English released
827	Xerxes I (Ahasuerus) coregent with father Darius I (Hystaspis)
828	Xerxes I (Ahasuerus) through Haman decrees extermination of Jews
829	Xerxes I (Ahasuerus) through Mordecai decrees that Jews may defend themselves
830	Xerxes I’s (Ahasuerus) first regnal year
831	Xerxes ‘rouses up everything against Greece’
832	Zechariah becomes king of Israel for 6 months
833	Zechariah begins prophesying
834	Zechariah starts to rule for recorded reign of only 6 months; Zechariah began to reign in some sense, but evidently the kingship was not fully confirmed as his until c. 792 B.C.E.
835	Zedekiah and Seraiah to Babylon
836	Zedekiah starts to rule for 11 years
837	Zedekiah, the last earthly king in the Davidic line, is dethroned
838	Zerubbabel completes second temple
839	Zilpah (Leah’s servant) bears Gad, Asher
840	Zimri starts to rule for 7 days
841	“36th year” of Asa’s reign
